HeaderID,AppNo,AbattoirName,AnimalSource,SpeciesCategory,Species,HerdMark,InspectionDate,ArrivalDate,SlaughterFromDate,SlaughterToDate,AnimalsReported,AnimalsPresented,AnimalsSlaughtered,Status,StatusDate,Poultry_House,Poultry_NoInHouse,Poultry_ProductionSystem,Broiler_StockingDensity,Broiler_Breed,Broiler_Line,Poultry_Age,Poultry_HouseMortality,Poultry_CumulativeMortality,Condition,InspectionType,AmountDescription,Amount,Comments
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Ascites/Oedema,Conditions,Whole,1,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Dermatitis,Conditions,Whole,1,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Perihepatitis/peritonitis,Conditions,Whole,1,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Abnormal colour/fevered,Conditions,Whole,3,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,3,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Emaciation,Conditions,Whole,3,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Machine Damage,Conditions,Whole,3,
6782,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/655/0001 Arden Old Urn Farm,Poultry,Broilers,689268,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4465,Complete,15/02/2016 05:09,2,4500,Organic,Not > 33kg,Hubbard,Not Provided,73,1.97,3.42,Cellulitis,Conditions,Whole,6,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,1,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Dermatitis,Conditions,Whole,1,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Hepatitis,Conditions,Whole,2,
